-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cuLaunchKernelEx         0.67%     183.268us         0.67%     183.268us       5.554us       0.000us         0.00%       0.000us       0.000us            33  
                                               aten::lt         0.02%       4.400us         0.02%       4.400us       4.400us       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaEventRecord         0.03%       7.492us         0.03%       7.492us       1.873us       0.000us         0.00%       0.000us       0.000us             4  
                                      Pregraph bytecode         0.16%      44.596us         0.16%      44.596us      44.596us       0.000us         0.00%       0.000us       0.000us             1  
                 AOTDispatcher Runtime Wrapper Prologue         0.36%      96.986us         0.36%      96.986us       5.705us       0.000us         0.00%       0.000us       0.000us            17  
## Call CompiledFxGraph f5zghgxe6fqjekq22675wzkrvncg...         0.56%     151.960us         0.98%     268.007us     268.007us       0.000us         0.00%      71.648us      71.648us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.259ms
Self CUDA time total: 9.665ms

