-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::lt         0.23%     545.916us         0.23%     545.916us       4.265us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::linear         0.20%     472.381us         2.85%       6.802ms      53.141us       0.000us         0.00%      17.751ms     138.681us           128  
                                                aten::t         0.19%     458.284us         0.42%       1.005ms       7.853us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::transpose         0.18%     427.330us         0.23%     546.907us       4.273us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::matmul         0.15%     346.790us         2.23%       5.324ms      41.597us       0.000us         0.00%      17.751ms     138.681us           128  
                                            aten::alias         0.06%     152.348us         0.06%     152.348us       1.190us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::unsqueeze         0.38%     910.778us         0.44%       1.058ms       4.133us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::softmax         0.33%     798.050us         1.18%       2.807ms      21.929us       0.000us         0.00%       1.903ms      14.866us           128  
                                       aten::empty_like         0.13%     307.006us         0.32%     753.246us       5.885us       0.000us         0.00%       0.000us       0.000us           128  
                                         cudaEventQuery         0.30%     726.330us         0.30%     726.330us       5.587us       0.000us         0.00%       0.000us       0.000us           130  
                   execute_context_0(0)_generation_1(1)        12.86%      30.648ms        86.48%     206.073ms       1.623ms       0.000us         0.00%      20.694ms     162.945us           127  
                                           aten::select         0.22%     520.919us         0.24%     562.924us       4.432us       0.000us         0.00%       0.000us       0.000us           127  
                                           Buffer Flush         0.21%     498.613us         0.21%     498.613us     249.306us       0.000us         0.00%       0.000us       0.000us             2  
                   execute_context_0(0)_generation_0(0)         0.09%     212.646us         0.09%     219.705us     109.853us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.05%     116.432us         0.05%     116.432us     116.432us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 238.293ms
Self CUDA time total: 213.595ms

